Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",26.035000,-188.468000,0.000000,top
"C2","0.1u","C_0402_1005Metric",26.007000,-187.452000,0.000000,top
"C3","0.1u","C_0402_1005Metric",23.622000,-186.337000,90.000000,top
"C4","1u","C_0402_1005Metric",26.098500,-182.499000,180.000000,top
"C5","12p","C_0402_1005Metric",24.892000,-178.082000,-90.000000,top
"C6","12p","C_0402_1005Metric",24.892000,-180.340000,-90.000000,top
"C7","0.1u","C_0402_1005Metric",28.067000,-173.708000,90.000000,top
"C8","1n","C_0402_1005Metric",23.142000,-166.319200,180.000000,top
"D1","1N5819WS","D_SOD-323",19.651000,-167.005000,0.000000,top
"J1","RS485","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",19.860000,-191.135000,0.000000,top
"J3","Download","PinHeader_1x02_P1.27mm_Vertical",18.781000,-177.292000,90.000000,top
"J4","Vibration Motor","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",24.098000,-163.830000,180.000000,top
"Q1","AO3400","SOT-23",23.395700,-168.720900,180.000000,top
"R1","120","R_0402_1005Metric",26.363200,-169.823300,180.000000,top
"R2","120","R_0402_1005Metric",21.437600,-188.468000,180.000000,top
"U1","AP2112K-3.3","SOT-23-5",26.537500,-184.851000,0.000000,top
"U2","COS13487E","SOP-8_3.9x4.9mm_P1.27mm",20.243800,-183.938000,-90.000000,top
"U3","STM32G031G8Ux","QFN-28_4x4mm_P0.5mm",24.493600,-173.736000,180.000000,top
"Y1","32.768k","Crystal_SMD_3215-2Pin_3.2x1.5mm",27.178000,-179.070000,-90.000000,top
