Designator,Mid X,Mid Y,Layer,Rotation
C1,26.035,-188.468,Top,0
C2,26.007,-187.452,Top,0
C3,23.622,-186.337,Top,90
C4,26.0985,-182.499,Top,180
C5,24.892,-178.082,Top,-90
C6,24.892,-180.34,Top,-90
C7,28.067,-173.708,Top,90
C8,23.142,-166.3192,Top,180
D1,19.651,-167.005,Top,0
J1,22.86,-191.135,Top,180
J3,19.420999999999985,-177.292,Top,0
J4,23.098,-163.83,Top,0
Q1,23.3957,-168.7209,Top,0
R1,26.3632,-169.8233,Top,180
R2,21.4376,-188.468,Top,180
U1,26.5375,-184.851,Top,270
U2,20.2438,-183.938,Top,180
U3,24.4936,-173.736,Top,90
Y1,27.178,-179.07,Top,-90
