"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC PN"
"C1,C4","1u","~","Capacitor_SMD:C_0402_1005Metric","2","","C52923"
"C2,C3,C7","0.1u","~","Capacitor_SMD:C_0402_1005Metric","3","","C1525"
"C5,C6","12p","~","Capacitor_SMD:C_0402_1005Metric","2","","C1547"
"C8","1n","~","Capacitor_SMD:C_0402_1005Metric","1","","C1523"
"D1","1N5819WS","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","Diode_SMD:D_SOD-323","1","","C191023"
"J1","RS485","~","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","1","","C2908636"
"J3","Download","~","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","1","","C703015"
"J4","Vibration Motor","~","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1","","C2908634"
"JP1","Terminate","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1","",""
"Q1","AO3400","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","Package_TO_SOT_SMD:SOT-23","1","","C20917"
"R1,R2","120","~","Resistor_SMD:R_0402_1005Metric","2","","C25079"
"U1","AP2112K-3.3","https://www.diodes.com/assets/Datasheets/AP2112.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C51118"
"U2","COS13487E","","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","1","","C22466040"
"U3","STM32G031G8Ux","https://www.st.com/resource/en/datasheet/stm32g031g8.pdf","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","1","","C432211"
"Y1","32.768k","~","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1","","C32346"
