Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",25.781000,-155.448000,90.000000,top
"C2","0.1u","C_0402_1005Metric",26.797000,-155.448000,90.000000,top
"C3","1u","C_0402_1005Metric",27.841000,-155.420000,90.000000,top
"C4","0.1u","C_0402_1005Metric",33.683000,-163.449000,0.000000,top
"C5","1u","C_0402_1005Metric",33.683000,-162.433000,0.000000,top
"C6","1u","C_0402_1005Metric",32.004000,-164.183000,-90.000000,top
"C7","1n","C_0402_1005Metric",34.006000,-158.087000,-90.000000,top
"C8","10u","C_0603_1608Metric",34.417000,-161.036000,0.000000,top
"C9","1u","C_0402_1005Metric",33.500000,-159.639000,0.000000,top
"C10","1n","C_0402_1005Metric",35.629000,-155.547000,180.000000,top
"C11","1n","C_0402_1005Metric",21.745000,-152.781000,180.000000,top
"C12","1n","C_0402_1005Metric",24.285000,-152.781000,180.000000,top
"C13","1n","C_0402_1005Metric",26.444000,-152.781000,180.000000,top
"C14","1n","C_0402_1005Metric",28.702000,-152.781000,180.000000,top
"C15","1n","C_0402_1005Metric",30.889000,-152.781000,180.000000,top
"C16","1n","C_0402_1005Metric",33.048000,-152.781000,180.000000,top
"C17","1n","C_0402_1005Metric",35.334000,-152.781000,180.000000,top
"C18","1n","C_0402_1005Metric",37.592000,-152.781000,180.000000,top
"J1","SPI","PinHeader_1x07_P2.54mm_Horizontal",35.941000,-167.132000,-90.000000,top
"J2","Electrodes","PinHeader_1x09_P2.54mm_Horizontal",20.828000,-148.082000,90.000000,top
"R1","1M","R_0402_1005Metric",32.990000,-158.087000,-90.000000,top
"R2","100k","R_0402_1005Metric",33.498000,-156.563000,0.000000,top
"R3","2.2k","R_0402_1005Metric",35.655000,-156.563000,180.000000,top
"R4","2.2k","R_0402_1005Metric",22.352000,-151.130000,-90.000000,top
"R5","2.2k","R_0402_1005Metric",24.765000,-151.005000,-90.000000,top
"R6","2.2k","R_0402_1005Metric",26.924000,-151.003000,-90.000000,top
"R7","2.2k","R_0402_1005Metric",29.083000,-151.003000,-90.000000,top
"R8","2.2k","R_0402_1005Metric",31.242000,-151.003000,-90.000000,top
"R9","2.2k","R_0402_1005Metric",33.401000,-151.003000,-90.000000,top
"R10","2.2k","R_0402_1005Metric",35.687000,-151.003000,-90.000000,top
"R11","2.2k","R_0402_1005Metric",37.973000,-151.005000,-90.000000,top
"U1","LH001-91","QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm",29.099000,-160.044500,-90.000000,top
