"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC PN"
"C1,C4,C13","10u","~","Capacitor_SMD:C_0603_1608Metric","3","","C19702"
"C2,C3,C5,C6,C11,C12,C16","0.1u","~","Capacitor_SMD:C_0402_1005Metric","7","","C1525"
"C7,C8,C14,C15","1u","~","Capacitor_SMD:C_0402_1005Metric","4","","C52923"
"C9,C10","4.7n","~","Capacitor_SMD:C_0402_1005Metric","2","","C1538"
"C17,C18,C19,C20,C21,C22","1n","~","Capacitor_SMD:C_0402_1005Metric","6","","C1523"
"FB1,FB2","FerriteBead_Small","~","Inductor_SMD:L_0603_1608Metric","2","","C19330"
"R1,R2","4.7k","~","Resistor_SMD:R_0402_1005Metric","2","","C25900"
"R3","1M","~","Resistor_SMD:R_0402_1005Metric","1","","C26083"
"R4,R5,R6,R7,R8","2.2k","~","Resistor_SMD:R_0402_1005Metric","5","","C25879"
"U1","ISOW7741","https://www.ti.com/lit/ds/symlink/isow7741.pdf","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","1","","C5216399"
"U2","ADS1292IRSMR","ADS1292IRSMR","VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm","1","","C544416"
