Comment,Designator,Footprint,LCSC Part Number
10u,"C1,C4,C13",Capacitor_SMD:C_0603_1608Metric,C19702
0.1u,"C2,C3,C5,C6,C11,C12,C16",Capacitor_SMD:C_0402_1005Metric,C1525
1u,"C7,C8,C14,C15",Capacitor_SMD:C_0402_1005Metric,C52923
4.7n,"C9,C10",Capacitor_SMD:C_0402_1005Metric,C1538
1n,"C17,C18,C19,C20,C21,C22",Capacitor_SMD:C_0402_1005Metric,C1523
FerriteBead_Small,"FB1,FB2",Inductor_SMD:L_0603_1608Metric,C19330
4.7k,"R1,R2",Resistor_SMD:R_0402_1005Metric,C25900
1M,R3,Resistor_SMD:R_0402_1005Metric,C26083
2.2k,"R4,R5,R6,R7,R8",Resistor_SMD:R_0402_1005Metric,C25879
ISOW7741,U1,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,C5216399
ADS1292IRSMR,U2,VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm,C544416
