Designator,Mid X,Mid Y,Layer,Rotation
C1,28.194,-173.26,Top,0
C2,20.066,-177.07,Top,90
C3,18.034,-171.241,Top,-90
C4,25.781,-171.228,Top,-90
C5,23.114,-111.265,Top,-90
C6,23.368,-118.364,Top,90
C7,55.31,-97.695,Top,180
C8,46.99,-123.235,Top,-90
C9,53.848,-107.22,Top,0
C10,30.213,-103.886,Top,180
C11,30.226,-114.586,Top,180
C12,37.084,-123.235,Top,-90
C13,48.768,-123.235,Top,-90
C14,53.848,-105.315,Top,0
C15,30.239,-102.14,Top,180
C16,30.226,-110.236,Top,180
C17,64.262,-171.971,Top,-90
C18,32.785,-123.2538,Top,-90
C19,31.0535,-123.2348,Top,-90
C20,29.0215,-123.2408,Top,-90
C21,26.924,-103.137,Top,90
C22,59.785,-178.435,Top,90
C23,45.974,-179.324,Top,-90
C24,55.245,-177.419,Top,180
C25,49.022,-186.088,Top,-90
C26,55.626,-172.479,Top,-90
C27,57.912,-168.402,Top,90
C28,46.482,-175.006,Top,90
C29,64.217,-168.71,Top,90
C30,32.525,-151.892,Top,0
C31,46.836,-164.733,Top,-90
C32,26.403,-110.236,Top,0
C33,61.137,-143.507,Top,180
C34,57.658,-144.272,Top,90
C35,43.434,-143.076,Top,90
C36,45.466,-139.824,Top,-90
C37,52.578,-144.282,Top,90
C38,38.5665,-147.114,Top,90
C39,35.293,-161.83,Top,0
C40,27.305,-167.913,Top,-90
C41,22.5552,-167.913,Top,-90
C42,31.242,-158.528,Top,0
C43,28.956,-167.913,Top,-90
C44,20.32,-151.175,Top,90
C45,29.083,-151.162,Top,90
C46,46.482,-134.366,Top,0
C47,55.88,-144.272,Top,90
C48,53.34,-140.97,Top,0
C49,60.986,-138.57,Top,-90
CY1,65.913,-156.115,Top,270
D2,43.18,-181.324,Top,-90
D3,45.566,-169.894,Top,-90
D4,61.789,-168.707,Top,-90
D5,62.992,-146.682,Top,0
D6,43.6465,-147.1495,Top,90
J2,20.153,-95.155,Top,0
J3,65.878,-128.20499999999998,Top,90
J4,65.878,-107.865,Top,90
J5,17.678,-134.865,Top,270
J6,17.678,-110.465,Top,270
J7,42.538,-88.19,Top,0
J8,29.845,-183.61,Top,90
L1,30.118,-120.7138,Top,0
L2,54.864,-168.715,Top,90
Q1,50.262,-168.59,Top,270
R1,19.558,-171.291,Top,-90
R2,17.78,-177.007,Top,-90
R4,21.082,-171.291,Top,-90
R5,22.606,-171.291,Top,-90
R6,24.13,-171.291,Top,-90
R7,55.247,-95.79,Top,0
R8,21.956,-97.997,Top,0
R9,30.163,-112.3,Top,0
R10,45.212,-123.285,Top,-90
R11,33.528,-95.028,Top,90
R12,36.322,-95.028,Top,90
R13,39.116,-95.091,Top,90
R14,41.148,-95.028,Top,-90
R15,46.228,-95.028,Top,90
R18,65.087,-184.15,Top,0
R20,64.961,-185.674,Top,180
R21,65.024,-182.372,Top,0
R22,58.229,-187.706,Top,180
R23,58.039,-178.372,Top,90
R25,55.182,-179.197,Top,180
R26,48.895,-171.831,Top,90
R27,52.324,-173.228,Top,-90
R28,44.704,-175.056,Top,-90
R29,45.058,-164.783,Top,-90
R30,59.645,-168.469,Top,-90
R31,64.452,-143.507,Top,180
R32,47.498,-143,Top,90
R33,47.498,-139.901,Top,90
R34,40.894,-139.761,Top,180
R35,40.4715,-147.127,Top,-90
R36,45.466,-142.999,Top,90
R37,26.607,-148.368,Top,180
R38,25.654,-151.162,Top,-90
R39,27.432,-151.162,Top,-90
R40,31.179,-160.306,Top,180
R41,16.447,-157.639,Top,0
R42,16.51,-159.29,Top,0
R43,17.971,-154.718,Top,0
R44,23.876,-151.162,Top,-90
R45,22.098,-151.162,Top,-90
R46,24.13,-167.863,Top,90
R47,25.7556,-167.863,Top,90
R48,31.1018,-163.608,Top,0
SW1,62.23,-95.79,Top,0
T1,55.773,-157.25,Top,0
U1,42.164,-111.665,Top,270
U2,58.674,-183.896,Top,270
U3,46.228,-156.115,Top,180
U4,40.259,-142.936,Top,0
U5,23.368,-159.29,Top,0
U6,55.042,-135.89,Top,180
X1,35.263,-158.02,Top,90
Y1,26.416,-115.134,Top,90
Y2,26.904,-106.934,Top,180
