Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",27.164600,-162.687000,0.000000,top
"C2","1u","C_0402_1005Metric",27.813000,-166.878000,-90.000000,top
"C3","0.1u","C_0402_1005Metric",24.596600,-160.859600,0.000000,top
"C4","0.1u","C_0402_1005Metric",27.235600,-164.973000,0.000000,top
"C5","0.1u","C_0402_1005Metric",28.194000,-174.142400,90.000000,top
"C6","1u","C_0402_1005Metric",25.270400,-187.248800,180.000000,top
"C7","1u","C_0402_1005Metric",25.753000,-181.610000,0.000000,top
"C8","12p","C_0402_1005Metric",25.247600,-178.155600,-90.000000,top
"C9","0.1u","C_0402_1005Metric",25.270400,-188.518800,180.000000,top
"C10","0.1u","C_0402_1005Metric",23.876000,-185.392000,-90.000000,top
"C11","12p","C_0402_1005Metric",25.247600,-180.086000,-90.000000,top
"C12","0.1u","C_0402_1005Metric",27.813000,-169.517000,90.000000,top
"J1","Conn_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",19.860000,-191.135000,0.000000,top
"R1","10k","R_0402_1005Metric",27.138600,-163.830000,180.000000,top
"R2","2.2k","R_0402_1005Metric",19.389600,-163.957000,180.000000,top
"R3","2.2k","R_0402_1005Metric",19.389600,-165.100000,180.000000,top
"R4","120","R_0402_1005Metric",18.923000,-187.960000,-90.000000,top
"R5","200k","R_0402_1005Metric",21.717000,-169.670000,-90.000000,top
"R6","4.7k","R_0402_1005Metric",17.907000,-170.305000,-90.000000,top
"R7","4.7k","R_0402_1005Metric",22.860000,-169.672000,-90.000000,top
"U1","PCA9306DCUR","VSSOP-8_2.4x2.1mm_P0.5mm",19.824000,-168.376000,-90.000000,top
"U2","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",23.495000,-163.576000,90.000000,top
"U3","AP2112K-3.3","SOT-23-5",26.609000,-184.277000,90.000000,top
"U4","AP2112K-1.8","SOT-23-5",25.400000,-168.529000,90.000000,top
"U5","SP3072EEN-L","SOP-8_3.9x4.9mm_P1.27mm",20.320000,-182.880000,-90.000000,top
"U6","STM32G031G8Ux","QFN-28_4x4mm_P0.5mm",24.511000,-173.736000,180.000000,top
"Y1","32.768k","Crystal_SMD_3215-2Pin_3.2x1.5mm",27.305000,-178.648000,-90.000000,top
