Designator,Mid X,Mid Y,Layer,Rotation
C1,27.1646,-162.687,Top,0
C2,27.813,-166.878,Top,-90
C3,24.5966,-160.8596,Top,0
C4,27.2356,-164.973,Top,0
C5,28.194,-174.1424,Top,90
C6,25.2704,-187.2488,Top,180
C7,25.753,-181.61,Top,0
C8,25.2476,-178.1556,Top,-90
C9,25.2704,-188.5188,Top,180
C10,23.876,-185.392,Top,-90
C11,25.2476,-180.086,Top,-90
C12,27.813,-169.517,Top,90
J1,22.86,-191.135,Top,180
R1,27.1386,-163.83,Top,180
R2,19.3896,-163.957,Top,180
R3,19.3896,-165.1,Top,180
R4,18.923,-187.96,Top,-90
R5,21.717,-169.67,Top,-90
R6,17.907,-170.305,Top,-90
R7,22.86,-169.672,Top,-90
U1,19.824,-168.376,Top,90
U2,23.495,-163.576,Top,0
U3,26.609,-184.277,Top,0
U4,25.4,-168.529,Top,0
U5,20.32,-182.88,Top,180
U6,24.511,-173.736,Top,90
Y1,27.305,-178.648,Top,-90
