"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC PN"
"C1,C3,C4,C5,C9,C10,C12","0.1u","~","Capacitor_SMD:C_0402_1005Metric","7","","C1525"
"C2,C6,C7","1u","~","Capacitor_SMD:C_0402_1005Metric","3","","C52923"
"C8,C11","12p","~","Capacitor_SMD:C_0402_1005Metric","2","","C1547"
"J1","Conn_01x04","~","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","1","","C2908636"
"JP1","Terminate","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1","",""
"R1","10k","~","Resistor_SMD:R_0402_1005Metric","1","","C25744"
"R2,R3","2.2k","~","Resistor_SMD:R_0402_1005Metric","2","","C25879"
"R4","120","~","Resistor_SMD:R_0402_1005Metric","1","","C25079"
"R5","200k","~","Resistor_SMD:R_0402_1005Metric","1","","C25764"
"R6,R7","4.7k","~","Resistor_SMD:R_0402_1005Metric","2","","C25900"
"U1","PCA9306DCUR","https://www.nxp.com/docs/en/data-sheet/PCA9306.pdf","Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm","1","","C33196"
"U2","ICM-20948","http://www.invensense.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf","Sensor_Motion:InvenSense_QFN-24_3x3mm_P0.4mm","1","","C726001"
"U3","AP2112K-3.3","https://www.diodes.com/assets/Datasheets/AP2112.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C51118"
"U4","AP2112K-1.8","https://www.diodes.com/assets/Datasheets/AP2112.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C176944"
"U5","SP3072EEN-L","SP3072EEN-L","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","1","","C2692300"
"U6","STM32G031G8Ux","https://www.st.com/resource/en/datasheet/stm32g031g8.pdf","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","1","","C432211"
"Y1","32.768k","~","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1","","C32346"
