Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",24.610000,-163.533000,0.000000,top
"C2","0.1u","C_0402_1005Metric",21.059200,-159.867600,180.000000,top
"C3","0.1u","C_0402_1005Metric",20.221000,-168.783000,180.000000,top
"C4","0.1u","C_0402_1005Metric",22.481600,-169.976800,0.000000,top
"C5","0.1u","C_0402_1005Metric",28.194000,-174.142400,90.000000,top
"C6","1u","C_0402_1005Metric",25.270400,-187.248800,180.000000,top
"C7","1u","C_0402_1005Metric",25.753000,-181.610000,0.000000,top
"C8","12p","C_0402_1005Metric",25.247600,-178.155600,-90.000000,top
"C9","0.1u","C_0402_1005Metric",25.270400,-188.518800,180.000000,top
"C10","0.1u","C_0402_1005Metric",23.876000,-185.392000,-90.000000,top
"C11","12p","C_0402_1005Metric",25.247600,-180.086000,-90.000000,top
"J1","Conn_01x04","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",19.860000,-191.135000,0.000000,top
"L1","10u","L_0805_2012Metric",19.477500,-170.349000,0.000000,top
"R1","330","R_0402_1005Metric",22.506400,-168.808400,0.000000,top
"R2","120","R_0402_1005Metric",23.090600,-159.867600,180.000000,top
"R3","120","R_0402_1005Metric",18.999200,-159.867600,0.000000,top
"R4","120","R_0402_1005Metric",18.923000,-187.960000,-90.000000,top
"U1","GZP160-040S","GZP160-040S",23.012400,-155.321000,180.000000,top
"U2","HX710B","SOP-8_3.9x4.9mm_P1.27mm",20.320000,-164.380000,-90.000000,top
"U3","AP2112K-3.3","SOT-23-5",26.609000,-184.277000,90.000000,top
"U4","TL431","SOT-23",25.019000,-166.109500,-90.000000,top
"U5","SP3072EEN-L","SOP-8_3.9x4.9mm_P1.27mm",20.320000,-182.880000,-90.000000,top
"U6","STM32G031G8Ux","QFN-28_4x4mm_P0.5mm",24.511000,-173.736000,180.000000,top
"Y1","32.768k","Crystal_SMD_3215-2Pin_3.2x1.5mm",27.305000,-178.648000,-90.000000,top
