Designator,Mid X,Mid Y,Layer,Rotation
C1,24.61,-163.533,Top,0
C2,21.0592,-159.8676,Top,180
C3,20.221,-168.783,Top,180
C4,22.4816,-169.9768,Top,0
C5,28.194,-174.1424,Top,90
C6,25.2704,-187.2488,Top,180
C7,25.753,-181.61,Top,0
C8,25.2476,-178.1556,Top,-90
C9,25.2704,-188.5188,Top,180
C10,23.876,-185.392,Top,-90
C11,25.2476,-180.086,Top,-90
J1,22.86,-191.135,Top,180
L1,19.4775,-170.349,Top,0
R1,22.5064,-168.8084,Top,0
R2,23.0906,-159.8676,Top,180
R3,18.9992,-159.8676,Top,0
R4,18.923,-187.96,Top,-90
U1,23.0124,-155.321,Top,90
U2,20.32,-164.38,Top,180
U3,26.609,-184.277,Top,0
U4,25.019,-166.1095,Top,90
U5,20.32,-182.88,Top,180
U6,24.511,-173.736,Top,90
Y1,27.305,-178.648,Top,-90
